time,jonathan,christina,charles
2014-08-23 17:00:05,0,2,0
2014-08-23 17:00:06,0,2,0
2014-08-23 17:00:07,0,2,0
2014-08-23 17:00:08,0,2,0
2014-08-23 17:00:09,0,2,0
2014-08-23 17:00:10,0,2,0
2014-08-23 17:00:11,0,2,0
2014-08-23 17:00:12,0,2,0
2014-08-23 17:00:13,0,2,0
2014-08-23 17:00:14,0,2,0
2014-08-23 17:00:15,0,2,0
2014-08-23 17:00:16,0,2,0
2014-08-23 17:00:17,0,2,0
2014-08-23 17:00:18,0,2,0
2014-08-23 17:00:19,0,2,0
2014-08-23 17:00:20,0,2,0
2014-08-23 17:00:21,0,2,0
2014-08-23 17:00:22,0,2,0
2014-08-23 17:00:23,0,2,0
2014-08-23 17:00:24,0,0,0
2014-08-23 17:00:25,0,0,0
2014-08-23 17:00:26,0,0,0
2014-08-23 17:00:27,0,0,0
2014-08-23 17:00:28,0,0,0
2014-08-23 17:00:29,0,0,0
2014-08-23 17:00:30,0,0,0
2014-08-23 17:00:31,0,2,0
2014-08-23 17:00:32,0,2,0
2014-08-23 17:00:33,0,2,0
2014-08-23 17:00:34,0,2,0
2014-08-23 17:00:35,0,2,0
2014-08-23 17:00:36,0,0,0
2014-08-23 17:00:37,0,0,0
2014-08-23 17:00:38,0,0,0
2014-08-23 17:00:39,0,0,0
2014-08-23 17:00:40,0,0,0
2014-08-23 17:00:41,0,0,0
2014-08-23 17:00:42,0,0,0
2014-08-23 17:00:43,0,0,0
2014-08-23 17:00:44,0,0,0
2014-08-23 17:00:45,0,0,0
2014-08-23 17:00:46,0,0,0
2014-08-23 17:00:47,0,0,0
2014-08-23 17:00:48,0,0,0
2014-08-23 17:00:49,0,0,0
2014-08-23 17:00:50,0,0,0
2014-08-23 17:00:51,0,0,0
2014-08-23 17:00:52,0,0,0
2014-08-23 17:00:53,0,0,0
2014-08-23 17:00:54,0,0,0
2014-08-23 17:00:55,0,0,0
2014-08-23 17:00:56,0,0,0
2014-08-23 17:00:57,0,0,0
2014-08-23 17:00:58,0,0,0
2014-08-23 17:00:59,0,0,0
2014-08-23 17:01:00,0,0,0
2014-08-23 17:01:01,0,0,0
2014-08-23 17:01:02,0,0,0
2014-08-23 17:01:03,0,0,0
2014-08-23 17:01:04,0,0,0
2014-08-23 17:01:05,0,0,0
2014-08-23 17:01:06,0,0,0
2014-08-23 17:01:07,0,0,0
2014-08-23 17:01:08,0,0,0
2014-08-23 17:01:09,0,0,0
2014-08-23 17:01:10,0,0,0
2014-08-23 17:01:11,0,0,0
2014-08-23 17:01:12,0,0,0
2014-08-23 17:01:13,0,0,0
2014-08-23 17:01:14,0,0,0
2014-08-23 17:01:15,0,0,0
2014-08-23 17:01:16,0,0,0
2014-08-23 17:01:17,0,0,0
2014-08-23 17:01:18,0,0,0
2014-08-23 17:01:19,0,0,0
2014-08-23 17:01:20,0,0,0
2014-08-23 17:01:21,0,0,0
2014-08-23 17:01:22,0,0,0
2014-08-23 17:01:23,0,0,0
2014-08-23 17:01:24,0,0,0
2014-08-23 17:01:25,0,0,0
2014-08-23 17:01:26,0,0,0
2014-08-23 17:01:27,0,0,0
2014-08-23 17:01:28,0,0,0
2014-08-23 17:01:29,0,0,0
2014-08-23 17:01:30,0,0,0
2014-08-23 17:01:31,0,0,0
2014-08-23 17:01:32,0,0,0
2014-08-23 17:01:33,0,0,0
2014-08-23 17:01:34,0,0,0
2014-08-23 17:01:35,0,0,0
2014-08-23 17:01:36,0,0,0
2014-08-23 17:01:37,0,0,0
2014-08-23 17:01:38,0,0,0
2014-08-23 17:01:39,0,0,0
2014-08-23 17:01:40,0,0,0
2014-08-23 17:01:41,0,0,0
2014-08-23 17:01:42,0,0,0
2014-08-23 17:01:43,0,0,0
2014-08-23 17:01:44,0,0,0
2014-08-23 17:01:45,0,0,0
2014-08-23 17:01:46,0,0,0
2014-08-23 17:01:47,0,0,0
2014-08-23 17:01:48,0,0,0
2014-08-23 17:01:49,0,0,0
2014-08-23 17:01:50,0,0,0
2014-08-23 17:01:51,0,0,0
2014-08-23 17:01:52,0,0,0
2014-08-23 17:01:53,0,0,0
2014-08-23 17:01:54,0,0,0
2014-08-23 17:01:55,0,0,0
2014-08-23 17:01:56,0,0,0
2014-08-23 17:01:57,0,0,0
2014-08-23 17:01:58,0,0,0
2014-08-23 17:01:59,0,0,0
2014-08-23 17:02:00,0,0,0
2014-08-23 17:02:01,0,0,0
2014-08-23 17:02:02,0,0,0
2014-08-23 17:02:03,0,0,0
2014-08-23 17:02:04,0,0,0
2014-08-23 17:02:05,0,0,0
2014-08-23 17:02:06,0,0,0
2014-08-23 17:02:07,0,0,0
2014-08-23 17:02:08,0,0,0
2014-08-23 17:02:09,0,0,0
2014-08-23 17:02:10,0,0,0
2014-08-23 17:02:11,0,0,0
2014-08-23 17:02:12,0,0,0
2014-08-23 17:02:13,0,0,0
2014-08-23 17:02:14,0,0,0
2014-08-23 17:02:15,0,0,0
2014-08-23 17:02:16,0,0,0
2014-08-23 17:02:17,0,0,0
2014-08-23 17:02:18,0,0,0
2014-08-23 17:02:19,0,0,0
2014-08-23 17:02:20,0,0,0
2014-08-23 17:02:21,0,0,0
2014-08-23 17:02:22,0,0,0
2014-08-23 17:02:23,0,0,0
2014-08-23 17:02:24,0,0,0
2014-08-23 17:02:25,0,0,0
2014-08-23 17:02:26,0,0,0
2014-08-23 17:02:27,0,0,0
2014-08-23 17:02:28,0,0,0
2014-08-23 17:02:29,0,0,0
2014-08-23 17:02:30,0,0,0
2014-08-23 17:02:31,0,0,0
2014-08-23 17:02:32,0,0,0
2014-08-23 17:02:33,0,0,0
2014-08-23 17:02:34,0,0,0
2014-08-23 17:02:35,0,0,0
2014-08-23 17:02:36,0,0,0
2014-08-23 17:02:37,0,0,0
2014-08-23 17:02:38,0,0,0
2014-08-23 17:02:39,0,0,0
2014-08-23 17:02:40,0,0,0
2014-08-23 17:02:41,0,0,0
2014-08-23 17:02:42,0,0,0
2014-08-23 17:02:43,0,0,0
2014-08-23 17:02:44,0,0,0
2014-08-23 17:02:45,0,0,0
2014-08-23 17:02:46,0,0,0
2014-08-23 17:02:47,0,0,0
2014-08-23 17:02:48,0,0,0
2014-08-23 17:02:49,0,0,0
2014-08-23 17:02:50,0,0,0
2014-08-23 17:02:51,0,0,0
2014-08-23 17:02:52,0,0,0
2014-08-23 17:02:53,0,0,0
2014-08-23 17:02:54,0,0,0
2014-08-23 17:02:55,0,0,0
2014-08-23 17:02:56,0,0,0
2014-08-23 17:02:57,0,0,0
2014-08-23 17:02:58,0,0,0
2014-08-23 17:02:59,0,0,0
2014-08-23 17:03:00,0,0,0
2014-08-23 17:03:01,0,0,0
2014-08-23 17:03:02,0,0,0
2014-08-23 17:03:03,0,0,0
2014-08-23 17:03:04,0,0,0
2014-08-23 17:03:05,0,0,0
2014-08-23 17:03:06,0,0,0
2014-08-23 17:03:07,0,0,0
2014-08-23 17:03:08,0,0,0
2014-08-23 17:03:09,0,0,0
2014-08-23 17:03:10,0,0,0
2014-08-23 17:03:11,0,0,0
2014-08-23 17:03:12,0,0,0
2014-08-23 17:03:13,0,0,0
2014-08-23 17:03:14,0,0,0
2014-08-23 17:03:15,0,0,0
2014-08-23 17:03:16,0,0,0
2014-08-23 17:03:17,0,0,0
2014-08-23 17:03:18,0,0,0
2014-08-23 17:03:19,0,0,0
2014-08-23 17:03:20,0,0,0
2014-08-23 17:03:21,0,0,0
2014-08-23 17:03:22,0,0,0
2014-08-23 17:03:23,0,0,0
2014-08-23 17:03:24,0,0,0
2014-08-23 17:03:25,0,0,0
2014-08-23 17:03:26,2,0,0
2014-08-23 17:03:27,2,0,0
2014-08-23 17:03:28,2,0,0
2014-08-23 17:03:29,2,0,0
2014-08-23 17:03:30,2,0,0
2014-08-23 17:03:31,2,0,0
2014-08-23 17:03:32,0,0,0
2014-08-23 17:03:33,0,0,2
2014-08-23 17:03:34,0,0,3
2014-08-23 17:03:35,0,0,4
2014-08-23 17:03:36,0,0,4
2014-08-23 17:03:37,0,0,4
2014-08-23 17:03:38,0,0,4
2014-08-23 17:03:39,0,0,7
2014-08-23 17:03:40,0,0,7
2014-08-23 17:03:41,0,0,7
2014-08-23 17:03:42,2,0,7
2014-08-23 17:03:43,8,0,7
2014-08-23 17:03:44,8,0,7
2014-08-23 17:03:45,8,0,7
2014-08-23 17:03:46,8,0,7
2014-08-23 17:03:47,8,0,7
2014-08-23 17:03:48,3,0,7
2014-08-23 17:03:49,3,0,7
2014-08-23 17:03:50,8,0,4
2014-08-23 17:03:51,7,0,4
2014-08-23 17:03:52,7,0,3
2014-08-23 17:03:53,7,0,0
2014-08-23 17:03:54,7,0,0
2014-08-23 17:03:55,7,2,0
2014-08-23 17:03:56,8,2,2
2014-08-23 17:03:57,8,2,2
2014-08-23 17:03:58,8,2,2
2014-08-23 17:03:59,8,2,2
2014-08-23 17:04:00,2,2,2
2014-08-23 17:04:01,2,2,0
2014-08-23 17:04:02,2,2,0
2014-08-23 17:04:03,0,2,0
2014-08-23 17:04:04,0,2,0
2014-08-23 17:04:05,0,2,0
2014-08-23 17:04:06,0,0,0
2014-08-23 17:04:07,0,0,0
2014-08-23 17:04:08,0,0,0
2014-08-23 17:04:09,0,0,0
2014-08-23 17:04:10,0,0,0
2014-08-23 17:04:11,0,0,0
2014-08-23 17:04:12,0,0,0
2014-08-23 17:04:13,0,0,0
2014-08-23 17:04:14,0,0,0
2014-08-23 17:04:15,0,0,0
2014-08-23 17:04:16,0,0,0
2014-08-23 17:04:17,0,0,0
2014-08-23 17:04:18,0,0,0
2014-08-23 17:04:19,0,0,0
2014-08-23 17:04:20,0,0,0
2014-08-23 17:04:21,0,0,0
2014-08-23 17:04:22,0,0,0
2014-08-23 17:04:23,0,0,0
2014-08-23 17:04:24,0,0,0
2014-08-23 17:04:25,0,0,0
2014-08-23 17:04:26,0,0,0
2014-08-23 17:04:27,0,0,0
2014-08-23 17:04:28,0,0,0
2014-08-23 17:04:29,0,0,0
2014-08-23 17:04:30,0,0,0
2014-08-23 17:04:31,0,0,0
2014-08-23 17:04:32,0,0,0
2014-08-23 17:04:33,0,0,0
2014-08-23 17:04:34,0,0,0
2014-08-23 17:04:35,0,0,0
2014-08-23 17:04:36,0,0,0
2014-08-23 17:04:37,0,0,0
2014-08-23 17:04:38,0,0,0
2014-08-23 17:04:39,0,0,0
2014-08-23 17:04:40,0,0,0
2014-08-23 17:04:41,0,0,0
2014-08-23 17:04:42,0,0,0
2014-08-23 17:04:43,0,0,0
2014-08-23 17:04:44,0,0,0
2014-08-23 17:04:45,0,0,0
2014-08-23 17:04:46,0,0,0
2014-08-23 17:04:47,0,0,0
2014-08-23 17:04:48,0,0,0
2014-08-23 17:04:49,0,0,0
2014-08-23 17:04:50,0,0,0
2014-08-23 17:04:51,0,0,0
2014-08-23 17:04:52,0,0,0
2014-08-23 17:04:53,0,0,0
2014-08-23 17:04:54,0,0,0
2014-08-23 17:04:55,0,0,0
2014-08-23 17:04:56,0,0,0
2014-08-23 17:04:57,0,0,0
2014-08-23 17:04:58,0,0,0
2014-08-23 17:04:59,0,0,0
2014-08-23 17:05:00,0,4,0
2014-08-23 17:05:01,0,8,0
2014-08-23 17:05:02,0,4,0
2014-08-23 17:05:03,0,8,0
2014-08-23 17:05:04,0,8,0
2014-08-23 17:05:05,0,8,0
2014-08-23 17:05:06,0,4,0
2014-08-23 17:05:07,0,4,0
2014-08-23 17:05:08,0,4,0
2014-08-23 17:05:09,0,4,0
2014-08-23 17:05:10,0,4,0
2014-08-23 17:05:11,0,4,0
2014-08-23 17:05:12,0,4,0
2014-08-23 17:05:13,0,4,0
2014-08-23 17:05:14,0,4,2
2014-08-23 17:05:15,0,4,4
2014-08-23 17:05:16,0,4,3
2014-08-23 17:05:17,0,4,3
2014-08-23 17:05:18,0,4,3
2014-08-23 17:05:19,0,4,4
2014-08-23 17:05:20,0,3,4
2014-08-23 17:05:21,0,4,3
2014-08-23 17:05:22,0,4,3
2014-08-23 17:05:23,0,4,3
2014-08-23 17:05:24,0,4,0
2014-08-23 17:05:25,0,4,0
2014-08-23 17:05:26,2,0,0
2014-08-23 17:05:27,2,0,0
2014-08-23 17:05:28,2,0,0
2014-08-23 17:05:29,2,0,0
2014-08-23 17:05:30,2,0,0
2014-08-23 17:05:31,2,0,0
2014-08-23 17:05:32,2,0,0
2014-08-23 17:05:33,2,0,0
2014-08-23 17:05:34,2,0,0
2014-08-23 17:05:35,3,0,0
2014-08-23 17:05:36,4,0,0
2014-08-23 17:05:37,4,0,0
2014-08-23 17:05:38,4,0,0
2014-08-23 17:05:39,4,0,0
2014-08-23 17:05:40,4,0,0
2014-08-23 17:05:41,4,0,0
2014-08-23 17:05:42,4,0,0
2014-08-23 17:05:43,2,2,2
2014-08-23 17:05:44,2,2,2
2014-08-23 17:05:45,2,2,2
2014-08-23 17:05:46,2,2,2
2014-08-23 17:05:47,2,2,2
2014-08-23 17:05:48,2,2,2
2014-08-23 17:05:49,2,2,2
2014-08-23 17:05:50,2,2,2
2014-08-23 17:05:51,2,2,2
2014-08-23 17:05:52,2,2,1
2014-08-23 17:05:53,2,2,2
2014-08-23 17:05:54,2,2,2
2014-08-23 17:05:55,2,2,3
2014-08-23 17:05:56,2,2,3
2014-08-23 17:05:57,2,2,3
2014-08-23 17:05:58,8,4,3
2014-08-23 17:05:59,8,4,4
2014-08-23 17:06:00,8,4,4
2014-08-23 17:06:01,8,4,3
2014-08-23 17:06:02,8,4,4
2014-08-23 17:06:03,8,4,4
2014-08-23 17:06:04,8,4,4
2014-08-23 17:06:05,8,4,4
2014-08-23 17:06:06,8,4,4
2014-08-23 17:06:07,8,4,3
2014-08-23 17:06:08,8,3,3
2014-08-23 17:06:09,2,3,3
2014-08-23 17:06:10,2,2,2
2014-08-23 17:06:11,2,2,2
2014-08-23 17:06:12,2,2,2
2014-08-23 17:06:13,2,2,2
2014-08-23 17:06:14,2,2,2
2014-08-23 17:06:15,2,2,2
2014-08-23 17:06:16,2,2,2
2014-08-23 17:06:17,2,2,2
2014-08-23 17:06:18,2,2,2
2014-08-23 17:06:19,2,2,2
2014-08-23 17:06:20,2,2,2
2014-08-23 17:06:21,2,2,2
2014-08-23 17:06:22,2,2,2
2014-08-23 17:06:23,2,2,2
2014-08-23 17:06:24,2,2,2
2014-08-23 17:06:25,2,2,2
2014-08-23 17:06:26,2,2,2
2014-08-23 17:06:27,2,2,2
2014-08-23 17:06:28,2,2,2
2014-08-23 17:06:29,2,2,2
2014-08-23 17:06:30,2,2,2
2014-08-23 17:06:31,2,2,2
2014-08-23 17:06:32,2,2,2
2014-08-23 17:06:33,2,2,2
2014-08-23 17:06:34,2,2,2
2014-08-23 17:06:35,2,2,2
2014-08-23 17:06:36,2,2,2
2014-08-23 17:06:37,2,2,2
2014-08-23 17:06:38,2,2,2
2014-08-23 17:06:39,2,2,2
2014-08-23 17:06:40,2,2,2
2014-08-23 17:06:41,2,2,2
2014-08-23 17:06:42,2,2,2
2014-08-23 17:06:43,2,2,2
2014-08-23 17:06:44,2,2,2
2014-08-23 17:06:45,2,2,2
2014-08-23 17:06:46,2,2,2
2014-08-23 17:06:47,2,2,2
2014-08-23 17:06:48,2,2,2
2014-08-23 17:06:49,2,2,2
2014-08-23 17:06:50,2,2,2
2014-08-23 17:06:51,2,2,2
2014-08-23 17:06:52,2,2,2
2014-08-23 17:06:53,2,2,2
2014-08-23 17:06:54,2,2,2
2014-08-23 17:06:55,2,2,2
2014-08-23 17:06:56,2,2,2
2014-08-23 17:06:57,2,2,2
2014-08-23 17:06:58,2,2,2
2014-08-23 17:06:59,2,2,2
2014-08-23 17:07:00,2,2,2
2014-08-23 17:07:01,2,2,2
2014-08-23 17:07:02,2,2,2
2014-08-23 17:07:03,2,2,2
2014-08-23 17:07:04,2,2,2
2014-08-23 17:07:05,2,2,2
2014-08-23 17:07:06,2,2,2
2014-08-23 17:07:07,2,2,2
2014-08-23 17:07:08,2,2,2
2014-08-23 17:07:09,2,2,2
2014-08-23 17:07:10,2,2,2
2014-08-23 17:07:11,2,2,2
2014-08-23 17:07:12,2,2,2
2014-08-23 17:07:13,0,2,2
2014-08-23 17:07:14,0,2,2
2014-08-23 17:07:15,0,2,2
2014-08-23 17:07:16,0,2,2
2014-08-23 17:07:17,2,2,2
2014-08-23 17:07:18,2,2,2
2014-08-23 17:07:19,2,2,2
2014-08-23 17:07:20,2,2,2
2014-08-23 17:07:21,2,2,2
2014-08-23 17:07:22,2,2,2
2014-08-23 17:07:23,2,2,2
2014-08-23 17:07:24,2,2,2
2014-08-23 17:07:25,2,2,2
2014-08-23 17:07:26,2,2,2
2014-08-23 17:07:27,2,2,2
2014-08-23 17:07:28,2,2,2
2014-08-23 17:07:29,2,2,2
2014-08-23 17:07:30,2,2,2
2014-08-23 17:07:31,2,2,2
2014-08-23 17:07:32,2,2,2
2014-08-23 17:07:33,2,2,2
2014-08-23 17:07:34,2,2,2
2014-08-23 17:07:35,2,2,2
2014-08-23 17:07:36,2,2,2
2014-08-23 17:07:37,2,2,2
2014-08-23 17:07:38,2,2,2
2014-08-23 17:07:39,2,2,2
2014-08-23 17:07:40,2,2,2
2014-08-23 17:07:41,2,2,2
2014-08-23 17:07:42,2,2,2
2014-08-23 17:07:43,2,2,2
2014-08-23 17:07:44,2,2,2
2014-08-23 17:07:45,2,2,2
2014-08-23 17:07:46,2,2,2
2014-08-23 17:07:47,2,2,2
2014-08-23 17:07:48,2,2,2
2014-08-23 17:07:49,8,2,4
2014-08-23 17:07:50,4,4,4
2014-08-23 17:07:51,4,4,4
2014-08-23 17:07:52,7,4,7
2014-08-23 17:07:53,7,4,7
2014-08-23 17:07:54,7,7,7
2014-08-23 17:07:55,7,7,7
2014-08-23 17:07:56,7,7,7
2014-08-23 17:07:57,7,7,7
2014-08-23 17:07:58,7,7,7
2014-08-23 17:07:59,7,7,7
2014-08-23 17:08:00,7,7,7
2014-08-23 17:08:01,7,4,7
2014-08-23 17:08:02,7,7,7
2014-08-23 17:08:03,7,7,7
2014-08-23 17:08:04,7,4,7
2014-08-23 17:08:05,7,6,7
2014-08-23 17:08:06,7,6,7
2014-08-23 17:08:07,7,4,7
2014-08-23 17:08:08,7,4,7
2014-08-23 17:08:09,7,6,7
2014-08-23 17:08:10,7,7,7
2014-08-23 17:08:11,7,7,7
2014-08-23 17:08:12,7,6,7
2014-08-23 17:08:13,7,6,7
2014-08-23 17:08:14,7,4,7
2014-08-23 17:08:15,7,6,7
2014-08-23 17:08:16,7,6,7
2014-08-23 17:08:17,7,6,7
2014-08-23 17:08:18,7,6,7
2014-08-23 17:08:19,7,6,7
2014-08-23 17:08:20,4,6,7
2014-08-23 17:08:21,4,6,7
2014-08-23 17:08:22,7,6,7
2014-08-23 17:08:23,4,4,7
2014-08-23 17:08:24,7,6,7
2014-08-23 17:08:25,7,6,7
2014-08-23 17:08:26,4,6,7
2014-08-23 17:08:27,7,6,7
2014-08-23 17:08:28,4,6,7
2014-08-23 17:08:29,4,6,7
2014-08-23 17:08:30,7,6,7
2014-08-23 17:08:31,4,6,4
2014-08-23 17:08:32,4,6,7
2014-08-23 17:08:33,7,6,7
2014-08-23 17:08:34,7,6,7
2014-08-23 17:08:35,7,6,7
2014-08-23 17:08:36,7,6,7
2014-08-23 17:08:37,7,7,7
2014-08-23 17:08:38,7,7,7
2014-08-23 17:08:39,7,7,7
2014-08-23 17:08:40,7,7,7
2014-08-23 17:08:41,7,7,7
2014-08-23 17:08:42,7,7,7
2014-08-23 17:08:43,7,7,7
2014-08-23 17:08:44,7,7,7
2014-08-23 17:08:45,7,7,7
2014-08-23 17:08:46,7,7,7
2014-08-23 17:08:47,7,6,7
2014-08-23 17:08:48,7,7,7
2014-08-23 17:08:49,7,4,7
2014-08-23 17:08:50,7,4,7
2014-08-23 17:08:51,7,4,7
2014-08-23 17:08:52,7,7,7
2014-08-23 17:08:53,7,4,7
2014-08-23 17:08:54,7,7,7
2014-08-23 17:08:55,7,7,7
2014-08-23 17:08:56,7,7,7
2014-08-23 17:08:57,7,6,7
2014-08-23 17:08:58,7,6,7
2014-08-23 17:08:59,7,7,7
2014-08-23 17:09:00,7,7,7
2014-08-23 17:09:01,7,4,7
2014-08-23 17:09:02,7,7,7
2014-08-23 17:09:03,7,7,7
2014-08-23 17:09:04,7,7,7
2014-08-23 17:09:05,7,7,7
2014-08-23 17:09:06,7,7,7
2014-08-23 17:09:07,7,7,7
2014-08-23 17:09:08,7,7,7
2014-08-23 17:09:09,7,7,7
2014-08-23 17:09:10,7,7,7
2014-08-23 17:09:11,7,7,7
2014-08-23 17:09:12,7,7,7
2014-08-23 17:09:13,7,7,7
2014-08-23 17:09:14,7,6,7
2014-08-23 17:09:15,7,7,7
2014-08-23 17:09:16,7,7,7
2014-08-23 17:09:17,7,7,7
2014-08-23 17:09:18,7,7,7
2014-08-23 17:09:19,7,7,7
2014-08-23 17:09:20,7,7,7
2014-08-23 17:09:21,7,6,7
2014-08-23 17:09:22,7,6,7
2014-08-23 17:09:23,7,6,7
2014-08-23 17:09:24,7,7,7
2014-08-23 17:09:25,7,7,7
2014-08-23 17:09:26,7,7,7
2014-08-23 17:09:27,7,7,7
2014-08-23 17:09:28,7,7,7
2014-08-23 17:09:29,7,7,7
2014-08-23 17:09:30,7,6,7
2014-08-23 17:09:31,7,6,7
2014-08-23 17:09:32,4,6,7
2014-08-23 17:09:33,4,6,7
2014-08-23 17:09:34,4,6,7
2014-08-23 17:09:35,3,7,7
2014-08-23 17:09:36,4,7,7
2014-08-23 17:09:37,4,7,7
2014-08-23 17:09:38,4,6,7
2014-08-23 17:09:39,7,7,7
2014-08-23 17:09:40,7,7,7
2014-08-23 17:09:41,7,7,4
2014-08-23 17:09:42,7,7,4
2014-08-23 17:09:43,4,7,4
2014-08-23 17:09:44,4,4,4
2014-08-23 17:09:45,8,4,4
2014-08-23 17:09:46,4,4,4
2014-08-23 17:09:47,4,4,4
2014-08-23 17:09:48,4,4,4
2014-08-23 17:09:49,4,4,4
2014-08-23 17:09:50,4,4,4
2014-08-23 17:09:51,4,4,4
2014-08-23 17:09:52,4,4,4
2014-08-23 17:09:53,4,4,4
2014-08-23 17:09:54,4,4,4
2014-08-23 17:09:55,4,4,4
2014-08-23 17:09:56,4,4,4
2014-08-23 17:09:57,4,4,4
2014-08-23 17:09:58,4,4,4
2014-08-23 17:09:59,4,4,4
2014-08-23 17:10:00,4,7,4
2014-08-23 17:10:01,4,7,4
2014-08-23 17:10:02,4,4,7
2014-08-23 17:10:03,4,4,7
2014-08-23 17:10:04,0,2,7
2014-08-23 17:10:05,0,2,7
2014-08-23 17:10:06,0,4,7
2014-08-23 17:10:07,8,7,7
2014-08-23 17:10:08,8,7,7
2014-08-23 17:10:09,8,4,7
2014-08-23 17:10:10,8,4,7
2014-08-23 17:10:11,4,4,7
2014-08-23 17:10:12,6,4,7
2014-08-23 17:10:13,6,4,7
2014-08-23 17:10:14,6,4,7
2014-08-23 17:10:15,4,4,7
2014-08-23 17:10:16,6,4,7
2014-08-23 17:10:17,6,4,7
2014-08-23 17:10:18,6,4,7
2014-08-23 17:10:19,6,7,7
2014-08-23 17:10:20,6,7,7
2014-08-23 17:10:21,4,4,4
2014-08-23 17:10:22,2,4,4
2014-08-23 17:10:23,2,7,4
2014-08-23 17:10:24,2,4,3
2014-08-23 17:10:25,2,4,3
2014-08-23 17:10:26,3,4,4
2014-08-23 17:10:27,4,7,4
2014-08-23 17:10:28,4,8,4
2014-08-23 17:10:29,4,8,4
2014-08-23 17:10:30,4,8,4
2014-08-23 17:10:31,4,8,8
2014-08-23 17:10:32,4,7,3
2014-08-23 17:10:33,4,4,3
2014-08-23 17:10:34,4,4,3
2014-08-23 17:10:35,3,4,4
2014-08-23 17:10:36,8,4,4
2014-08-23 17:10:37,8,7,4
2014-08-23 17:10:38,8,4,4
2014-08-23 17:10:39,8,4,4
2014-08-23 17:10:40,8,7,4
2014-08-23 17:10:41,8,5,2
2014-08-23 17:10:42,8,2,2
2014-08-23 17:10:43,8,2,2
2014-08-23 17:10:44,2,2,2
2014-08-23 17:10:45,2,2,2
2014-08-23 17:10:46,2,2,2
2014-08-23 17:10:47,2,2,2
2014-08-23 17:10:48,2,2,2
2014-08-23 17:10:49,2,2,2
2014-08-23 17:10:50,2,2,2
2014-08-23 17:10:51,2,2,2
2014-08-23 17:10:52,2,2,2
2014-08-23 17:10:53,2,2,2
2014-08-23 17:10:54,2,2,2
2014-08-23 17:10:55,2,2,2
2014-08-23 17:10:56,2,2,2
2014-08-23 17:10:57,2,2,2
2014-08-23 17:10:58,2,2,2
2014-08-23 17:10:59,2,2,2
2014-08-23 17:11:00,2,2,2
2014-08-23 17:11:01,2,2,2
2014-08-23 17:11:02,2,2,2
2014-08-23 17:11:03,2,2,2
2014-08-23 17:11:04,2,2,2
2014-08-23 17:11:05,2,2,2
2014-08-23 17:11:06,2,2,2
2014-08-23 17:11:07,2,2,2
2014-08-23 17:11:08,2,2,2
2014-08-23 17:11:09,2,2,2
2014-08-23 17:11:10,2,2,2
2014-08-23 17:11:11,2,2,2
2014-08-23 17:11:12,2,2,2
2014-08-23 17:11:13,2,2,2
2014-08-23 17:11:14,2,2,2
2014-08-23 17:11:15,2,2,2
2014-08-23 17:11:16,2,2,2
2014-08-23 17:11:17,2,2,2
2014-08-23 17:11:18,2,2,2
2014-08-23 17:11:19,2,2,2
2014-08-23 17:11:20,2,2,2
2014-08-23 17:11:21,2,2,2
2014-08-23 17:11:22,2,2,2
2014-08-23 17:11:23,2,2,2
2014-08-23 17:11:24,2,2,2
2014-08-23 17:11:25,2,2,2
2014-08-23 17:11:26,2,2,2
2014-08-23 17:11:27,2,2,2
2014-08-23 17:11:28,2,2,2
2014-08-23 17:11:29,2,2,2
2014-08-23 17:11:30,2,2,2
2014-08-23 17:11:31,2,2,2
2014-08-23 17:11:32,2,2,2
2014-08-23 17:11:33,2,2,2
2014-08-23 17:11:34,2,2,2
2014-08-23 17:11:35,2,2,2
2014-08-23 17:11:36,2,2,2
2014-08-23 17:11:37,2,2,2
2014-08-23 17:11:38,2,3,2
2014-08-23 17:11:39,0,3,2
2014-08-23 17:11:40,2,3,2
2014-08-23 17:11:41,2,3,3
2014-08-23 17:11:42,2,3,3
2014-08-23 17:11:43,2,4,3
2014-08-23 17:11:44,8,4,3
2014-08-23 17:11:45,8,4,4
2014-08-23 17:11:46,8,4,4
2014-08-23 17:11:47,8,4,3
2014-08-23 17:11:48,8,4,3
2014-08-23 17:11:49,8,4,3
2014-08-23 17:11:50,8,4,3
2014-08-23 17:11:51,2,4,2
2014-08-23 17:11:52,2,2,2
2014-08-23 17:11:53,2,2,2
2014-08-23 17:11:54,2,2,2
2014-08-23 17:11:55,2,2,4
2014-08-23 17:11:56,2,2,4
2014-08-23 17:11:57,2,2,4
2014-08-23 17:11:58,2,3,4
2014-08-23 17:11:59,3,3,4
2014-08-23 17:12:00,3,3,4
2014-08-23 17:12:01,3,3,4
2014-08-23 17:12:02,4,3,4
2014-08-23 17:12:03,4,3,4
2014-08-23 17:12:04,4,3,4
2014-08-23 17:12:05,4,2,4
2014-08-23 17:12:06,4,3,4
2014-08-23 17:12:07,4,2,4
2014-08-23 17:12:08,4,3,2
2014-08-23 17:12:09,4,2,2
2014-08-23 17:12:10,3,3,2
2014-08-23 17:12:11,3,2,2
2014-08-23 17:12:12,3,3,2
2014-08-23 17:12:13,3,3,2
2014-08-23 17:12:14,3,3,2
2014-08-23 17:12:15,3,3,2
2014-08-23 17:12:16,2,3,2
2014-08-23 17:12:17,2,4,2
2014-08-23 17:12:18,2,4,2
2014-08-23 17:12:19,2,3,2
2014-08-23 17:12:20,2,3,2
